,GeAuthored,SpAuthored
marshall gfl,1,1
marshall jt,0,1
martens gh,0,2
martens j,0,3
mason ij,1,0
mason na,1,0
massena,0,5
mata,0,1
mathews,31,38
mauricio,0,2
maurício,1,1
mayr,1,31
mazariegos-hurtado,0,1
mcclelland,0,2
mccoy,0,1
mcevey,0,1
mcgregor,0,4
meade-waldo,0,1
mearns,1,7
mees,1,1
meinertzhagen r,0,1
meise,2,1
meisner,0,1
mellor,0,1
merrem,5,3
meuschen,0,1
meyen,1,5
meyer,0,11
meyer ab,4,57
meyer b,0,1
meyer faa,0,1
michahelles,0,1
michels,0,1
middendorf,0,1
middendorff,0,2
mikan,0,1
miller jf,1,7
miller w,1,0
millie,0,1
milligan,0,3
milne-edwards,5,17
miranda,0,1
miranda-ribeiro,0,3
molina,1,18
molina fs,0,1
moltoni,1,2
momiyama,1,0
moncrieff,0,1
montagu,0,2
montin,0,1
moore f,2,22
moore rt,0,5
moquin-tandon,0,1
moreau,0,4
morgan,0,1
morrison,0,2
moseley,0,2
motley,0,1
mougin,0,1
moulaert,0,1
mourer-chauviré,1,2
moutou,1,2
mowbray,0,1
mulsant,3,18
munn,0,1
murphy,0,17
murs,3,28
ménégaux,0,3
ménétries,0,9
müller jw,1,4
müller pl,0,83
müller s,5,47
nagamichi,0,3
naka,0,2
natterer,0,3
naumann ja,1,0
naumann jf,1,4
navarrete,0,1
navarro,0,1
neave,1,2
nelson,3,17
neumann,1,18
newman rj,0,1
newton a,3,8
newton e,0,13
nguembock,1,0
nichols,0,1
nicholson,0,1
nitsch,0,1
nitzsch,1,0
noble,0,1
nordmann,0,7
nores,0,2
north,4,12
novaes,0,1
nuttall,0,4
nyári,1,0
néboux,0,2
o'neill,3,13
o'reilly,0,1
oates,7,2
oberholser,28,12
ochoa,0,1
ogawa,0,1
ogilvie-grant,5,85
ohlson,2,0
oken,0,1
oliver,0,2
oliveros,0,1
olphe-galliard,0,1
olrog,0,1
olsen,0,1
olson,6,13
olsson,0,3
oniki,0,1
oort,2,8
ord,0,6
oren,0,2
orr,0,1
ortega,0,2
osburn,0,1
otto,0,1
oustalet,9,60
owen,1,2
oyler-mccance,0,1
pacheco,3,4
pakenham,0,2
pallas,1,94
palma,0,1
palmén,0,1
paludan,2,0
parker sa,1,0
parker ta,0,3
parkes,0,2
parrot,0,1
parzudaki,0,3
pasquet,1,0
paykull,1,3
payne,0,4
payraudeau,0,1
peale,1,26
pearson,0,1
peck,0,1
pedreira,1,1
pelzeln,0,80
penard te,4,1
penhallurick,1,0
pennant,1,10
penny,0,1
perkins,3,1
perry,0,1
peters jl,13,4
peters w,1,8
peterson,0,2
phelps,0,12
philippi,0,19
phillips,0,4
phillips ar,0,2
phillips jc,0,1
phipps,0,1
pichorim,0,1
pinto,0,3
pleske,0,1
poeppig,0,1
pollen,0,1
pontoppidan,0,8
portenko,0,1
porter,0,1
potts,0,1
powell,1,0
pr?s-jones,1,0
prawiradilaga,0,1
preleuthner,0,1
prigogine,0,4
prum,1,0
przewalski,1,14
prévost,0,12
pucheran,4,16
purdie,0,1
pyle,0,1
päckert,0,2
quevedo,0,1
quinn,0,1
quoy,1,36
rabor,0,7
rackett,0,1
radde,0,4
raffles,0,22
rafinesque,3,2
raherilalao,0,1
ramsay ep,0,43
ramsay rgw,0,7
rand,1,16
ranzani,1,2
raposo,1,2
rappole,0,1
rasmussen,1,8
reich gc,0,1
reichenbach,108,12
reichenberger,0,1
reichenow,15,161
reinert,1,2
reinhardt,0,1
reischek,0,1
reiser,1,2
remsen,4,1
rendahl,0,1
renjifo,0,1
renner,0,1
repenning,0,1
restall,0,1
reveal,0,1
ribes,1,2
rice,0,1
richard,0,1
richardson,0,3
richmond,8,15
ridgely,0,1
ridgway,50,62
riley,2,12
ripley,1,11
rippon,0,4
robbins,1,5
roberts,8,6
robertson,0,1
robertson cjr,0,1
robin,2,0
robinson,0,12
robson cr,1,0
rodrigues,0,1
roo,1,1
roselaar,0,2
rosenberg gh,0,1
rothschild,12,97
round,0,1
roux,0,1
rowley js,0,1
royle,0,1
rozendaal,0,3
rudebeck,0,1
rumboll,0,1
rêgo,0,1
rüppell,2,64
sabine,0,2
safford,0,1
saint-hilaire a,0,1
saint-hilaire i,8,9
saint-hilaire é,2,2
salaman,0,4
salomonsen,0,4
salvadori,31,156
salvin,19,242
sandbach,0,1
sangster,3,2
sardelli,0,1
sassi,0,5
sauer-gürth,0,1
saunders h,0,2
savi,0,1
savigny,6,2
say,0,9
schalow,0,2
schauensee,0,11
schiebel,0,1
schinz,1,1
schlegel,5,93
schodde,2,2
schomburgk,0,1
schouteden,0,3
schulenberg,0,6
schulz,0,1
schunck,0,2
schweizer,0,1
sclater pl,65,465
sclater wl,4,14
scopoli,3,51
scott,0,2
seebohm,0,8
seeholzer,0,1
seilern,0,3
selby,11,26
serle,1,2
servat,0,1
seth-smith,0,1
sevastianov,0,1
severtsov,1,5
sganzin,0,1
sharpe,48,230
shaw,1,64
shelley,5,72
short,0,2
shwe,0,1
sick,0,4
siebers,0,5
siebold,0,1
silva,0,4
silveira,0,3
simmons,1,1
simon,5,3
sjöstedt,0,3
slager,1,0
slater,1,5
slater pjb,1,0
smith a,7,86
smith bt,0,1
smith da,0,1
snethlage e,0,15
snodgrass,0,1
snow,0,1
somadikarta,0,1
someren,0,5
sornoza,0,1
souancé,0,11
souleyet,0,1
sousa,0,3
sparre,0,2
sparrman,0,27
spix,9,77
sr,0,6
stager,0,2
stahl,0,1
stanley,0,8
statius,0,83
steere,0,15
steinbacher,0,1
stejneger,8,12
stepanyan,0,1
stephens,15,15
stiles,0,5
stoliczka,0,1
stolzmann,2,13
stone,1,1
stonor,0,1
storr,1,0
stotz,0,2
straneck,0,2
streets,0,1
stresemann,8,24
streubel,1,2
strickland,10,33
sturm jhcf,0,2
sturm jw,0,2
styan,0,4
such,1,2
suckow,0,1
sun,0,2
sunarto,0,1
sundevall,15,47
sushkin,0,1
sutton,0,1
suárez,1,0
svendsen,1,1
swainson,101,132
swann,0,3
sweet,0,1
swinhoe,3,49
sykes,1,20
sélys-longchamps,3,2
taczanowski,3,69
taka-tsukasa,0,3
tallman,1,1
tarragon,0,3
teixeira,0,5
teixera,1,1
telfer,0,1
tello,1,1
temminck,23,365
tennyson,0,2
terborgh,0,8
thayer,0,5
thibault,0,1
thompson,0,1
thomson,0,2
thonglongya,0,1
thunberg,2,6
ticehurst,0,2
tickell,0,9
timmins,0,1
todd,3,26
touche,0,6
townsend ch,1,4
townsend jk,0,11
trai,0,2
traill,0,1
trainor,0,1
traylor,1,2
trewick,1,0
trimen,0,1
tristram,0,21
trost,0,1
trudeau,0,1
tréca,0,1
tschudi,1,59
tunstall,1,3
tweeddale,1,25
tytler,0,1
unitt,1,0
ussher,0,2
vahl,0,2
valderrama,0,1
valenciennes,0,8
valqui,0,3
van,2,14
vasconcelos,0,1
vaurie,0,4
verbelen,0,1
verheyen,0,1
verreaux e,4,23
verreaux j,9,67
vieillard,0,1
vieillot,88,399
vielliard,0,2
vigors,31,114
vincent,0,2
vis,9,30
voelker,0,1
von,36,172
vorderman,0,1
vésey,0,5
wagler,38,62
wagner,0,1
wahlberg,0,7
walden,2,20
waldheim,2,2
wallace,0,39
warakagoda,0,1
warham,0,1
warheit,1,0
waterhouse,1,5
webb,0,1
weckstein,2,1
weigold,0,1
weimerskirch,0,1
welch,0,1
weller,0,1
weske,0,7
wetmore,4,14
whitaker,0,1
white hl,0,2
whitehead j,0,2
whitney,3,15
whittaker,0,5
wied-neuwied,5,53
